Григорьев;Андрей;+79279088424;grigorev.a@inbox.ru;4.76;True
Березин;Михаил;+79652582817;berezin.m@inbox.ru;3.95;True
Иванова;Александра;+79254409424;ivanova.a@yandex.ru;5.62;
Хохлов;Герман;+79666556378;hohlov.g@inbox.ru;5.27;True
Волкова;Ева;+79480364252;volkova.e@rambler.ru;4.63;True
Яковлев;Георгий;+79636139841;yakovlev.g@inbox.ru;3.25;
Орлова;Ольга;+79338704674;orlova.o@inbox.ru;5.56;True
Елисеева;Мирослава;+79229117678;eliseeva.m@yandex.ru;5.72;
Соловьева;Алисия;+79767656830;soloveva.a@inbox.ru;4.34;True
Иванова;Дарья;+79890100930;ivanova.d@inbox.ru;3.27;True
Островский;Всеволод;+79381333089;ostrovskij.v@inbox.ru;5.76;True
Старикова;Алина;+79017724775;starikova.a@zhukova.ru;3.07;
Макарова;Кристина;+79896761050;makarova.k@zhukova.ru;3.68;True
Овсянников;Артём;+79473519987;ovsyannikov.a@rambler.ru;3.4;True
Соколова;Мария;+79482565808;sokolova.m@inbox.ru;5.31;
Кузьмина;Диана;+79783736334;kuzmina.d@rambler.ru;3.33;
Гришина;Фатима;+79345022085;grishina.f@zhukova.ru;3.76;
Тимофеева;София;+79086709051;timofeeva.s@mail.ru;5.23;True
Семин;Давид;+79675082032;semin.d@rambler.ru;3.72;True
Зайцева;Елизавета;+79677249899;zajceva.e@zhukova.ru;3.7;
Соловьев;Кирилл;+79436487571;solovev.k@rambler.ru;4.88;True
Соловьева;Мирослава;+79689473054;soloveva.m@rambler.ru;3.67;
Николаева;Екатерина;+79673097822;nikolaeva.e@yandex.ru;5.09;
Воронин;Даниил;+79993906240;voronin.d@zhukova.ru;5.94;
Князева;Кира;+79221451765;knyazeva.k@mail.ru;5.93;
Жарова;Кристина;+79861496972;zharova.k@zhukova.ru;5.63;
Максимова;Кира;+79456948097;maksimova.k@yandex.ru;3.38;True
Жукова;Ольга;+79222018154;zhukova.o@yandex.ru;4.05;True
Горелова;Арина;+79438686488;gorelova.a@zhukova.ru;5.77;True
Лазарева;Анна;+79347285183;lazareva.a@mail.ru;4.28;
Давыдова;Варвара;+79321009371;davydova.v@rambler.ru;3.87;True
Трифонова;Лидия;+79582057699;trifonova.l@zhukova.ru;4.26;True
Одинцова;Мария;+79994156547;odincova.m@zhukova.ru;5.53;True
Иванов;Демьян;+79266284756;ivanov.d@rambler.ru;3.74;True
Максимов;Давид;+79279236320;maksimov.d@zhukova.ru;5.53;True
Александров;Лев;+79044899099;aleksandrov.l@mail.ru;4.34;True
Серова;Варвара;+79640032368;serova.v@inbox.ru;4.59;True
Николаева;Елизавета;+79105333110;nikolaeva.e@inbox.ru;3.24;
Тарасов;Алексей;+79958701603;tarasov.a@mail.ru;5.56;
Щукин;Ярослав;+79921295204;shchukin.ya@yandex.ru;5.89;
